id,s/c,question,e1_gold,e1_predict,e2_gold,e2_predict,type_sc,r1_gold,r1_predict,r2_gold,r2_predict,constraint
0,C,Which party has come in power in Mumbai North?,mumbai_north_(lok_sabha_constituency),mumbai_north_(lok_sabha_constituency),,,type_false,constituency,region,party,party,no
1,S,Name the municipality of Roberto Clemente Bridge ?,roberto_clemente_bridge,roberto_clemente_bridge,,,type_true,municipality,municipality,,,no
2,C,Which royalty was married to ptolemy XIII Theos Philopator and had mother named Cleopatra V ?,cleopatra_v_of_egypt,cleopatra_v_of_egypt,ptolemy_xiii_theos_philopator,ptolemy_xiii_theos_philopator,type_true,mother,parent,spouse,spouse,yes
3,C,Which person designed the cars which has been designed by ASC Creative Services?,asc_creative_services,asc_creative_services,,,type_true,designCompany,designer,designer,designCompany,yes
4,S,Is Nikolai Morozov the former coach of Stanislav Morozov?,stanislav_morozov,stanislav_morozov,nikolai_morozov_(figure_skater),nikolai_morozov_(figure_skater),type_true,formerCoach,formerCoach,,,no
5,S,Did Timm Gunn guest in Sunrise (HIMYM)?,sunrise_(how_i_met_your_mother),sunrise_(how_i_met_your_mother),tim_gunn,,type_true,guests,guest,,,no
6,C,Which kind of conventions are held in Rosemont Illinois?,rosemont_illinois,rosemont_illinois,,,type_true,location,region,genre,genre,yes
7,C,Who started at the pole position in both 1997 canadian grand prix and the 94 spanish one?,1997_canadian_grand_prix,1997_canadian_grand_prix,1994_spanish_grand_prix,,type_true,poleDriver,poleDriver,poleDriver,poleDriver,no
8,S,Is Ombla originate in Croatia?,ombla,ombla,croatia,croatia,type_true,sourceMountain,sourceMountain,,,no
9,C,In which team did Dave Bing and Ron Reed started their basketball career?,dave_bing,dave_bing,ron_reed,ron_reed,type_true,draftTeam,college,draftTeam,draftTeam,no
10,C,List some musicians associated with famous guitar players?,guitar,,,,type_true,notableInstruments,associatedBand,associatedMusicalArtist,knownFor,no
11,C,Who is the person that first ascented the Cathedral Peak and Mount Hoffmann?,cathedral_peak_(california),cathedral_peak_(california),mount_hoffmann,mount_hoffmann,type_true,firstAscentPerson,firstAscentPerson,firstAscentPerson,firstAscentPerson,no
12,S,Which american football team  has stadium as O.co Coliseum?,o.co_coliseum,oakland_alameda_coliseum,,,type_false,locationCity,recordedIn,,,no
13,C,What are some artists on the show whose opening theme is Send It On?,send_it_on_(disney's_friends_for_change_song),send_it_on_(disney's_friends_for_change_song),,,type_true,openingTheme,openingTheme,artist,openingTheme,yes
14,C,Give me the total number of employer of the engineers whose one of the employer is McDonnell Aircraft ?,mcdonnell_aircraft,mcdonnell_aircraft,,,type_true,employer,employer,employer,employer,no
15,S,Where was Live in Detroit MI recorded ?,live_in_detroit_mi,detroit,,,type_true,recordedIn,recordedIn,,,no
16,S,who all have been a manager of english under twenty one football team?,england_national_under-21_football_team,england_national_under-21_football_team,,,type_true,managerclubs,managerClub,,,no
17,C,What awards have been won by the executive producer of Timmy Time ?,timmy_time,timmy_time,,,type_true,executiveProducer,executiveProducer,award,award,no
18,C,Count all the different purposes followed by the different NGOs.,non-governmental_organization,,,,type_false,type,type,purpose,type,no
19,C,Which television show's developer is Brian Graden and voices to the character is by Isaac Hayes?,brian_graden,brian_graden,isaac_hayes,isaac_hayes,type_true,developer,developer,voices,voice,yes
20,C,How many things are crossed over by bridges which can carry cars?,motor_vehicle,,,,type_true,carries,product,crosses,division,no
21,C,Which arena of WPC Dynamo Moscow is death location of Tigran Petrosian,wpc_dynamo_moscow,wpc_dynamo_moscow,tigran_petrosian,tigran_petrosian,type_true,arena,stadium,deathPlace,deathPlace,no
22,S,In which time zone is Pong Pha?,pong_pha,pong_pha,,,type_true,timeZone,timeZone,,,no
23,C,How many rivers start in an English speaking country?,english_language,england,,,type_true,officialLanguage,country,sourceCountry,sourceCountry,yes
24,S,Was Tim Gunn a guest on The Broken Code?,the_broken_code,,tim_gunn,,type_true,guests,guest,,,no
25,C,What system is both a platform where Nord runs and also distributed The beauty inside?,nord_(video_game),nord_(video_game),the_beauty_inside,the_beauty_inside,type_true,computingPlatform,computingPlatform,distributor,distributor,no
26,S,Is Tirana the largest city of Albania?,albania,albania,tirana,tirana,type_true,largestCity,largestCity,,,no
27,S,Raymond Johansen is the mayor of what city?,raymond_johansen,raymond_johansen,,,type_true,leaderName,leaderName,,,no
28,C,What was the language of the single which came before To Know Him Is to Love Him?,to_know_him_is_to_love_him,,,,type_true,previousWork,subsequentWork,language,broadcastNetwork,no
29,C,Where was the narrator of Spain on the Road Again born?,spain..._on_the_road_again,spain..._on_the_road_again,,,type_true,narrator,narrator,birthPlace,birthPlace,no
30,C,Name a  river with source country as Zambia and source location as Ikelenge  District?,zambia,zambia,ikelenge_district,ikelenge_district,type_true,sourceCountry,sourceCountry,sourceLocation,sourcePlace,yes
31,S,Which researchers received fellowship from Royal Society?,royal_society,,,,type_false,award,foundationPlace,,,no
32,C,Who is the office holder with deputies as Neil Brown and Andrew Peacock?,neil_brown_(australian_politician),neil_brown_(australian_politician),andrew_peacock,andrew_peacock,type_true,deputy,deputy,deputy,owner,yes
33,S,To whom was Tessa Dahl born to?,tessa_dahl,tessa_dahl,,,type_true,parent,hometown,,,no
34,C,Count the number of religions followed by the alumini of Ananda College.,ananda_college,ananda_college,,,type_true,almaMater,city,religion,religion,no
